Products — Final Business Master,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
"Final values only • Filterable catalogue • Profit, margin and markup are formula-driven",,,,,,,,,,,,,
,,,,,,,,,,,,,
SKU,Product Name,Category,Sales Type,Unit of Measure,Pack Quantity,Currency,Wholesale Price,Buying Price,Profit,Profit Margin %,Markup %,Active,Source Key
RS-000001,JAHAZ (6 PCS),BALL POINT,Wholesale,Pack,6,PKR,390,355,35,0.08974358974358974,0.09859154929577464,True,WS-RATES:1:2
RS-000002,WELCOME BABY DISPLAY,CHINA DAIRIES,Wholesale,Piece,,PKR,200,172,28,0.14,0.16279069767441862,True,WS-RATES:1:3
RS-000003,MINI FAN 0+,CHINA,Wholesale,Piece,,PKR,300,250,50,0.16666666666666666,0.2,True,WS-RATES:1:4
RS-000004,TT FILE LEAGAL CHUNYI,CHINA,Wholesale,Piece,,PKR,720,680,40,0.05555555555555555,0.058823529411764705,True,WS-RATES:1:5
RS-000005,PIANO PEN 92.97,Fountain pen,Wholesale,Piece,,PKR,760,722,38,0.05,0.05263157894736842,True,WS-RATES:1:6
RS-000006,METAL CAR 12PC SMALL,CHINA DAIRIES,Wholesale,Pack,12,PKR,360,320,40,0.1111111111111111,0.125,True,WS-RATES:1:7
RS-000007,SHADI LIFAFA A+,CHINA,Wholesale,Piece,,PKR,130,115,15,0.11538461538461539,0.13043478260869565,True,WS-RATES:1:8
RS-000008,SCOTCH TAPE 1 INCH 90 YD SUPE,TAPE,Wholesale,Piece,,PKR,100,75,25,0.25,0.3333333333333333,True,WS-RATES:1:9
RS-000009,SCOTCH 1 INCH 50 YD TICO,TAPE,Wholesale,Piece,,PKR,75,63,12,0.16,0.19047619047619047,True,WS-RATES:1:10
RS-000010,DL STAPLER DL0280,STAPLERS,Wholesale,Piece,,PKR,380,345,35,0.09210526315789473,0.10144927536231885,True,WS-RATES:1:11
RS-000011,CLIP BOARD LASANI A (1PCS),CLIP BOARD,Individual,Piece,1,PKR,40,34,6,0.15,0.17647058823529413,True,WS-RATES:1:12
RS-000012,CLIP BOARD 709,CLIP BOARD,Wholesale,Piece,,PKR,63,54,9,0.14285714285714285,0.16666666666666666,True,WS-RATES:1:13
RS-000013,TUK TUK 1PC,CHINA,Individual,Piece,1,PKR,20,15,5,0.25,0.3333333333333333,True,WS-RATES:1:14
RS-000014,LUDO GOTI BOX (LARGE)`,LUDO DANA + GOTI,Wholesale,Box,,PKR,40,35,5,0.125,0.14285714285714285,True,WS-RATES:1:15
